state,murder,robbery,burglary,theft,population
AL,8.6,90,700,2500,4900
AK,9.0,80,650,2300,730
AZ,7.5,110,850,2900,7000
AR,7.8,90,720,2400,3000
CA,6.0,180,720,2900,39500
CO,4.5,75,700,2600,5800
CT,3.0,90,450,2100,3500
DE,4.5,80,650,2400,980
FL,7.5,150,800,3000,21500
GA,7.5,95,750,2600,10700
HI,2.5,40,700,2600,1420
ID,2.0,20,450,1700,1800
IL,6.5,150,650,2400,12700
IN,6.0,75,650,2200,6700
IA,1.5,30,450,1500,3160
KS,3.5,50,650,2200,2940
KY,5.0,60,650,2100,4490
LA,10,120,850,2600,4650
ME,1.5,20,450,1500,1360
MD,7.5,160,650,2300,6050
